    x-direction              y-direction               z-direction
   1.8153316309966609E-017   1.7213260447720018E-017  -9.5095060122586230E-018
  -3.4224485047965241E-018  -1.3046876846445290E-017   1.3692744526936139E-018
  -2.7037343209709429E-018   1.6338319890707862E-017   1.0817268262306334E-018
  -2.1359501183646925E-018  -1.3738079889214588E-017   8.5456419098512105E-019
  -1.6874006013456433E-018   1.5792269505076730E-017   6.7510572341003192E-019
  -1.3330464761383930E-018  -1.4169459707180791E-017   5.3333351355299137E-019
   7.8286774839228299E-018   6.5696952192085442E-018   4.2133348608797985E-019
  -2.6971289859946865E-018  -1.2573509162742064E-017   3.3285345425765827E-019
  -5.3094982518622405E-017   5.3569931385983874E-017   1.7502350641948316E-017
   4.9429783246790769E-018   1.0595477817723496E-017  -3.8444815211917231E-017
  -4.9768313085313423E-018   8.3704274826603653E-018  -1.2607835632014785E-017
   4.9500874560753607E-018   6.6126377175469028E-018  -1.0784059566331259E-018
  -4.9712151006219400E-018   5.2239837755414725E-018   8.0298434920469044E-018
   4.9545242729693117E-018  -1.3636621228137186E-017  -2.5382078372502222E-018
  -4.9677100272077986E-018   6.9906376411862786E-018  -2.0051841896905961E-018
   4.9572932807493486E-018   5.5226037376952131E-018  -1.5840954994330952E-018
  -4.9655225149906776E-018  -1.3400711443291237E-017  -1.2514354400026519E-018
   4.9590214264850945E-018   7.1770063673268295E-018  -9.8863399689899148E-019
  -4.9641572626954411E-018   5.6698349921792464E-018   8.1007633273328533E-018
   4.9600999738441167E-018  -1.3284398752538365E-017  -2.4821811779622345E-018
  -4.9633052253054810E-018   7.2688933948000373E-018  -1.9609231282327005E-018
   4.9607730672521639E-018   5.7424257612538732E-018  -1.5491292721310140E-018
  -4.9627734743166527E-018  -1.3227052061885253E-017  -1.2238121239495252E-018
   4.9611931540281761E-018   7.3141973035356950E-018  -9.6681157440460745E-019
  -4.9624416094548963E-018   5.7782158480383485E-018   8.1180030534284070E-018
   4.9614553351271790E-018  -1.3198777862223527E-017  -2.4685617815254470E-018
  -4.9622344937692705E-018   7.3365338766834234E-018  -1.9501638080254884E-018
   4.9616189545542700E-018   5.7958617818532126E-018  -1.5406294040387967E-018
  -4.9621052209491650E-018  -1.3184837583815566E-017  -1.2170972413088454E-018
   4.9617210606951076E-018   7.3475466760495937E-018  -9.6150681550546808E-019
  -4.9620245636016107E-018   5.8045618628088433E-018   8.1221938192453006E-018
   4.9617847856555224E-018  -1.3177964513222494E-017  -2.4652510945212801E-018
  -4.9619742182876038E-018   7.3529764157354350E-018  -1.9475483663261723E-018
   4.9618245647711807E-018   5.8088513712434086E-018  -1.5385632102662158E-018
  -4.9619427947301082E-018  -1.3174575814814756E-017  -1.2154649327188699E-018
   4.9618493874273877E-018   7.3556535010019509E-018  -9.6021728642543155E-019
  -4.9619231750399542E-018   5.8109662818181654E-018   8.1232125459363991E-018
   4.9618648815542360E-018  -1.3172905052666054E-017  -2.4644462891442965E-018
  -4.9619109420726709E-018   7.3569733958822736E-018  -1.9469125663560428E-018
   4.9618745606013785E-018   5.8120090132906405E-018  -1.5380609213828553E-018
  -4.9619032989238107E-018  -1.3172081294513287E-017  -1.2150681465867374E-018
   6.3129408137985035E-018  -8.4294795757182821E-018   5.7519480671830078E-017
   1.5252752076118256E-017   1.5986598448745820E-017  -6.1923372208117336E-017
  -5.7138942567228554E-018   3.7476285901844884E-018  -4.5105430594064337E-018
  -4.5139764627903763E-018   2.9606265553505499E-018   5.3184551861499471E-018
   1.4197526989680238E-017  -1.5424673412504516E-017  -4.6802045983297917E-018
  -1.5429306277407497E-017   1.4459860587701244E-017   5.1844225537328050E-018
   1.4456200625751379E-017  -1.5222062726202785E-017  -4.7860903879482198E-018
  -1.5224954098810838E-017   1.4619923045099732E-017   5.1007727851868438E-018
   1.4617638842706836E-017  -6.2138292053309184E-018  -4.8521736940566674E-018
  -1.5097417902008335E-017   3.9728591279744724E-018   5.0485669682740091E-018
   1.4718392450185272E-017   3.1385587071914050E-018  -4.8934162990131020E-018
  -1.5017822554064924E-017  -1.5284107006573860E-017  -3.8657988763030690E-018
   1.4781272775443138E-017   1.4570908042244647E-017   5.8278030882373455E-018
  -1.4968147092985645E-017  -6.2525510497489007E-018  -4.2778197521238705E-018
   1.4820516384712004E-017   3.9422688742963859E-018   5.5023065824836370E-018
  -1.4937144652106395E-017   3.1143924084607573E-018  -4.5349619935718153E-018
   1.4845008313430541E-017  -1.5303198388878325E-017   5.2991642134354808E-018
  -1.4917796020767332E-017   1.4555825851340814E-017  -4.6954444705378921E-018
   1.4860293737440998E-017  -6.2644659722911225E-018   5.1723830557223812E-018
