    x-direction              y-direction               z-direction
  -7.2719608112947756E-017  -1.1102230246251566E-017  -5.5511151231257828E-019
  -6.2033711500930618E-017   3.3306690738754695E-017   5.5511151231257830E-018
  -1.0338951916821771E-016   8.8817841970012525E-018  -1.1657341758564143E-017
  -7.0776717819853725E-017   4.2188474935755949E-017  -7.2164496600635178E-018
  -9.6589403142388619E-017  -6.6613381477509390E-018  -2.1649348980190553E-017
  -7.4107386893729197E-017   7.1054273576010020E-017  -9.9920072216264085E-018
  -6.9944050551384863E-017   5.5511151231257827E-017  -1.9428902930940238E-017
  -2.0261570199409106E-017   6.4392935428259075E-017  -2.4980018054066023E-017
  -4.4686476741162553E-017   6.6613381477509390E-017  -3.6082248300317589E-017
  -7.9519724138776843E-017   4.4408920985006264E-017  -3.8857805861880483E-018
  -7.3691053259494760E-017   4.4408920985006264E-017  -4.4408920985006264E-017
  -6.6752159355587532E-017   3.5527136788005010E-017  -8.3266726846886737E-018
  -6.2172489379008772E-017   5.1070259132757203E-017  -5.5511151231257828E-019
  -5.0792703376600914E-017   6.6613381477509390E-017   1.1102230246251566E-018
  -3.4000580129145422E-017   6.2172489379008772E-017  -1.1102230246251566E-017
  -5.1902926401226071E-017   1.3322676295501878E-017   2.2204460492503131E-018
  -3.2474023470285827E-017   3.7747582837255325E-017   2.4980018054066023E-017
  -9.1732177409653564E-017   8.8817841970012525E-018   8.8817841970012525E-018
  -2.5118795932144167E-017   5.5511151231257827E-017  -1.9428902930940238E-017
  -4.3021142204224817E-017   7.1054273576010020E-017   1.7763568394002505E-017
  -2.9420910152566650E-017   4.8849813083506888E-017  -1.3877787807814457E-017
  -6.6752159355587532E-017   2.4424906541753444E-017   1.6653345369377347E-017
  -6.7723604502134547E-017   8.6597395920762213E-017  -2.9976021664879229E-017
  -2.8310687127941492E-017   5.3290705182007512E-017   1.4432899320127036E-017
  -3.0947466811426238E-017   4.4408920985006264E-017   1.3877787807814457E-017
  -3.5527136788005010E-017   4.8849813083506888E-017   1.0547118733938987E-017
  -6.2450045135165055E-017   3.9968028886505634E-017   3.3306690738754695E-018
   8.4654505627668184E-018   2.2204460492503131E-018  -1.3877787807814457E-017
  -6.3976601794024650E-017   2.4424906541753444E-017   3.5527136788005010E-017
  -5.0653925498522766E-017   3.5527136788005010E-017  -1.3877787807814457E-017
  -3.9135361618036766E-017   5.1070259132757203E-017  -1.4432899320127036E-017
  -1.3031242751537776E-016   2.6645352591003756E-017   3.4416913763379853E-017
  -4.6906922790412862E-017   3.3306690738754695E-017   0.0000000000000000     
  -7.8270723236073532E-017   4.2188474935755949E-017   3.4416913763379853E-017
  -5.1486592766991634E-017   1.9984014443252817E-017   1.6653345369377347E-017
  -8.1046280797636425E-017   1.9984014443252817E-017  -1.9984014443252817E-017
  -6.3421490281712071E-017   4.8849813083506888E-017   1.5543122344752193E-017
  -5.3290705182007512E-017   2.2204460492503132E-017   3.3306690738754695E-018
  -3.0114799542957370E-017   1.5543122344752193E-017   1.4432899320127036E-017
  -3.6221026178395730E-017   5.3290705182007512E-017   2.7755575615628915E-018
  -6.2866378769399493E-017   3.9968028886505634E-017  -3.8857805861880483E-018
  -2.1926904736346843E-017   2.4424906541753444E-017  -1.2212453270876722E-017
  -6.3143934525555776E-017   2.8865798640254071E-017   6.6613381477509390E-018
  -6.5364380574806091E-017   2.2204460492503132E-017   1.2212453270876722E-017
  -4.8572257327350599E-017   2.2204460492503131E-018   3.9968028886505634E-017
  -5.2041704279304213E-017   2.8865798640254071E-017   2.7755575615628914E-017
  -7.4523720527963634E-017   1.7763568394002505E-017  -1.2212453270876722E-017
  -7.5495165674510650E-017   3.1086244689504386E-017  -7.7715611723760965E-018
  -5.0515147620444624E-017   3.5527136788005010E-017   2.6090241078691177E-017
  -7.0776717819853725E-017   3.5527136788005010E-017   1.1102230246251566E-018
  -2.2343238370581277E-017   6.4392935428259075E-017  -1.0547118733938987E-017
  -1.1032841307212493E-016   5.5511151231257827E-017  -1.9984014443252817E-017
  -7.7576833845682811E-017   4.4408920985006264E-017   3.8857805861880483E-018
  -3.9412917374193055E-017   4.6629367034256573E-017  -1.1102230246251566E-018
  -3.7747582837255325E-017   4.2188474935755949E-017   1.2767564783189301E-017
  -5.1902926401226071E-017   3.3306690738754695E-017   0.0000000000000000     
